IDEN_CLASS;IDEN_Fibres;Annee;Sorte_The;Profondeur_cm;Type_The;Variete;Type_Sachet;Entreprise;Tamis_mm;Broyage;Prelevement;Repetition;Producteur;Site;Batch_Fibres;Type_CTRL;MO_CTRL_calc__pourc;MS_CTRL_pourc;Fibres_CTRL_NDF_Initial_Poids_SachetVide_g;Fibres_CTRL_NDF_Initial_Poids_Total_g;Fibres_CTRL_NDF_Final_Poids_Total_g;Fibres_CTRL_Calcin_Poids_Echantillon_g;Fibres_CTRL_Calcin_Poids_Echantillon_pourc;Fibres_Blanc_NDF_Initial_Poids_g;Fibres_Blanc_NDF_Final_Poids_Total_g;Fibres_Blanc_Calcin_Poids_Echantillon_g;MO_calc_pourc;MS_pourc;DMS_pourc;Fibres_Initial_Poids_SachetVide_g;Fibres_Initial_Poids_Total_g;Fibres_NDF_Final_Poids_Total_g;Fibres_Calcin_Poids_Echantillon_g;Fibres_Calcin_Poids_Echantillon_pourc;NDF_CTRL_calc_pourc;NDF_calc_pourc;NDF_calc_ajust_pourc;Fibres_CTRL_ADF_Initial_Poids_Sachet_g;Fibres_CTRL_ADF_Initial_Poids_Total_g;Fibres_CTRL_ADF_Final_Poids_Total_g;Fibres_CTRL_ADF_Calcin_Poids_Echantillon_g;Fibres_CTRL_ADF_Calcin_Poids_Echantillon_pourc;Fibres_Blanc_ADF_Initial_Poids_Total_g;Fibres_Blanc_ADF_Final_Poids_Total_g;Fibres_ADF_Blanc_Calcin_Poids_Echantillon_g;Fibres_ADF_Final_Poids_Total_g;ADF_CTRL_calc_pourc;ADF_calc_pourc;ADF_calc_ajust_pourc;Fibres_CTRL_ADL_Initial_Poids_Sachet_g;Fibres_CTRL_ADL_Initial_Poids_Total_g;Fibres_CTRL_ADL_Final_Poids_Total_g;Fibres_CTRL_ADL_Calcin_Poids_Echantillon_g;Fibres_CTRL_ADL_Calcin_Poids_Echantillon_pourc;Fibres_Blanc_ADL_Initial_Poids_Total_g;Fibres_Blanc_ADL_Final_Poids_Total_g;Fibres_ADL_Blanc_Calcin_Poids_Echantillon_g;Fibres_ADL_Final_Poids_Total_g;ADL_CTRL_calc_pourc;ADL_calc_pourc;SOL_calc_pourc;HEM_calc_pourc;CEL_calc_pourc;LIC_calc_pourc;HOLO_calc_pourc;M_hydrolysable_pourc;CF_pourc;ISB_calc ;SucresSol_mgPg_MS
1;Car_011;2017;Alfafa;;Standard;;Nylon;Ankom;1;Broyeur;0;1;;0;6;Interne_Mais;99,36175063;95,23;0,5111;1,53545;1,141575;0,006382494;0,638249373;0,513825;0,512125;0;97,49975196;98;;0,5279;1,5503;1,0079;0,038761345;2,50024804;64,5628526;45,34598198;37,7866487;;;;;;;;;;;;;;;;;;;;;;;;54,65401802;;;;;;;;
2;Car_011;2017;Alfafa;;Standard;;Nylon;Ankom;1;Broyeur;0;2;;0;6;Interne_Mais;99,36175063;95,23;0,5111;1,53545;1,141575;0,006382494;0,638249373;0,513825;0,512125;0;98,01739834;98;;0,5145;1,527;0,9886;0,030274327;1,982601659;64,5628526;45,80898119;38,17246434;;;;;;;;;;;;;;;;;;;;;;;;54,19101881;;;;;;;;
3;Car_011;2017;Alfafa;;Standard;;Nylon;Ankom;1;Broyeur;0;3;;0;6;Interne_Mais;98,79296168;95,23;0,52215;1,52025;1,13125;0,012070383;1,207038316;0,51285;0,511175;0;99,87227249;98;;0,5089;1,5202;0,9395;0,001941714;0,127727515;63,76183319;43,47513161;36,68279226;;;0,86835;;;;0,51175;;0,8475;-91,55506195;34,12275624;-9,000753708;;;;;;;;;;;;56,52486839;9,352375365;;;;;;;
4;Car_011;2017;Alfafa;;Standard;;Nylon;Ankom;1;Broyeur;0;4;;0;6;Interne_Mais;98,79296168;95,23;0,52215;1,52025;1,13125;0,012070383;1,207038316;0,51285;0,511175;0;99,88791522;98;;0,5256;1,5391;0,9814;0,001725097;0,112084777;63,76183319;45,94132192;38,7636772;;;0,86835;;;;0,51175;;0,8606;-91,55506195;33,7059377;-8,890807106;;;;;;;;;;;;54,05867808;12,23538422;;;;;;;
5;Car_015;2018;Mais;;Standard;;Nylon;Producteur;1;Broyeur;0;1;;0;14;Ankom;100;98;0,5614;1,025933333;0,758366667;0;0;0,5563;0,555066667;0;99,83255191;95,23;;0,5775;1,0965;0,8958;0,001836068;0,167448091;43,53970341;64,39681784;79,57217272;;;0,709;;;;0,5545;;0,7414;32,82128694;33,22399255;24,44631198;;;0,618266667;;;;0,5551;;0,5897;12,75751861;2,352915205;35,60318216;31,17282529;30,87107735;2,352915205;62,04390263;97,6470848;;;
6;Car_015;2018;Mais;;Standard;;Nylon;Producteur;1;Broyeur;0;2;;0;14;Ankom;100;98;0,5614;1,025933333;0,758366667;0;0;0,5563;0,555066667;0;100;95,23;;0,5723;1,0624;0,8722;0;0;43,53970341;64,52848963;53,6506026;;;0,709;;;;0,5545;;0,7287;32,82128694;33,90705659;32,02551918;;;0,618266667;;;;0,5551;;0,5813;12,75751861;2,192849;35,47151037;30,62143305;31,71420759;2,192849;62,33564063;97,807151;;;
7;Car_015;2018;Mais;;Standard;;Nylon;Producteur;1;Broyeur;0;3;;0;14;Ankom;100;98;0,5614;1,025933333;0,758366667;0;0;0,5563;0,555066667;0;100;95,23;;0,541;1,0807;0,8736;0;0;43,53970341;64,9470405;53,99859627;;;0,709;;;;0,5545;;0,715;32,82128694;34,19560981;32,29806028;;;0,618266667;;;;0,5551;;0,5522;12,75751861;2,406234924;35,0529595;30,75143069;31,78937488;2,406234924;62,54080557;97,59376508;;;
8;Car_016;2018;Sciences_animales;;Standard;;;;1;Broyeur;0;1;;0;16;Ankom;100;98;0,5509;1,029033333;0,6745;0;0;0,573366667;0,574533333;0;100;98;;0,5823;1,0617;0,5868;0;0;26,13886366;0,705634615;0,977241145;;;0,645933333;;;;0,573766667;;0,5845;20,19951601;0,381805446;0,585953091;;;0,570566667;;;;0,5729;;0,5821;4,292852499;0,058307911;99,29436539;0,323829168;0,323497536;0,058307911;0,647326704;99,94169209;;;
9;Car_001;2017;Sencha;;Vert;C;Nylon;Lipton;1;Broyeur;0;1;;0;4;Interne_Mais;99,07106363;95,23;0,53365;1,5071;1,129425;0,009289364;0,928936368;0,566525;0,564925;0;99,43019943;98,90724269;;0,501;1,52;0,6669;0,008660969;0,56980057;64,02325364;15,8318025;13,30377521;;;;;;;;;;-101,1466973;-0,864262914;;;;;;;;;;;;;84,1681975;16,69606542;;;;;;;
10;Car_001;2017;Sencha;;Vert;C;Nylon;Lipton;1;Broyeur;0;2;;0;4;Interne_Mais;99,07106363;95,23;0,53365;1,5071;1,129425;0,009289364;0,928936368;0,566525;0,564925;0;99,63057687;98,90724269;;0,535;1,574;0,7038;0,00581472;0,369423132;64,02325364;16,06644174;13,50094718;;;;;;;;;;-101,1466973;-0,567927013;;;;;;;;;;;;;83,93355826;;;;;;;;
11;Car_001;2017;Sencha;;Vert;C;Nylon;Lipton;1;Broyeur;0;3;;0;4;Interne_Mais;99,07106363;95,23;0,53365;1,5071;1,129425;0,009289364;0,928936368;0,566525;0,564925;0;99,75530766;98,94941634;;0,533;1,542;0,69475;0,003773156;0,244692335;64,02325364;16,01296293;13,45600788;;;;;;;;;;-101,1466973;-0,378847411;;;;;;;;;;;;;83,98703707;;;;;;;;
12;Car_001;2017;Sencha;;Vert;C;Nylon;Lipton;1;Broyeur;0;4;;0;4;Interne_Mais;99,07106363;95,23;0,53365;1,5071;1,129425;0,009289364;0,928936368;0,566525;0,564925;0;99,80155918;98,87820513;;0,54;1,56;0,7055;0,003095677;0,198440822;64,02325364;16,28616402;13,68558414;;;;;;;;;;-101,1466973;-0,307551283;;;;;;;;;;;;;83,71383598;;;;;;;;
13;Car_001;2017;Sencha;;Vert;C;Nylon;Lipton;1;Broyeur;0;5;;0;4;Interne_Mais;99,42731854;95,23;0,53355;1,5279;1,144975;0,005726815;0,572681458;0,5616;0,559925;0;100;98,94148586;;0,498;1,521;0,661;0;0;64,5025673;16,25073676;13,5543386;;;0,94325;;;;0,5601;;0,6332;-17,15952725;13,48883481;-18,98393563;;;;;;;;;;;;83,74926324;2,761901948;;;;;;;
14;Car_001;2017;Sencha;;Vert;C;Nylon;Lipton;1;Broyeur;0;6;;0;4;Interne_Mais;99,42731854;95,23;0,53355;1,5279;1,144975;0,005726815;0,572681458;0,5616;0,559925;0;100;98,90534449;;0,508;1,553;0,67385;0;0;64,5025673;16,19306065;13,50623238;;;0,94325;;;;0,5601;;0,6454;-17,15952725;13,42512515;-18,89427183;;;;;;;;;;;;83,80693935;2,767935504;;;;;;;
15;Car_001;2017;Sencha;;Vert;C;Nylon;Lipton;1;Broyeur;0;7;;0;4;Interne_Mais;99,42731854;95,23;0,53355;1,5279;1,144975;0,005726815;0,572681458;0,5616;0,559925;0;100;98,98532227;;0,542;1,567;0,7073;0;0;64,5025673;16,45147009;13,72176531;;;0,94325;;;;0,5601;;0,6809;-17,15952725;13,83281208;-19,46804285;;;;;;;;;;;;83,54852991;2,618658008;;;;;;;
16;Car_001;2017;Sencha;;Vert;C;Nylon;Lipton;1;Broyeur;0;8;;0;4;Interne_Mais;99,42731854;95,23;0,53355;1,5279;1,144975;0,005726815;0,572681458;0,5616;0,559925;0;100;99,00653595;;0,527;1,53;0,68655;0;0;64,5025673;16,22517974;13,53302212;;;0,94325;;;;0,5601;;0,6596;-17,15952725;13,49474193;-18,99224919;;;;;;;;;;;;83,77482026;2,730437813;;;;;;;
17;Car_001;2017;Sencha;;Vert;C;Nylon;Lipton;1;Broyeur;0;9;;0;4;Interne_Mais;99,66919322;95,23;0,54255;1,5568;1,1581;0,003308068;0,330806783;0,56235;0,560825;0;100;99,00900901;;0,542;1,554;0,7154;0;0;63,75081594;17,4525794;14,72841967;;;0,9527;;;;0,56015;;0,6861;8,462435073;14,59327293;41,64611464;;;0,6185;;;;0,56115;;0,6178;7,666104596;7,680517893;82,5474206;2,859306469;6,912755034;7,680517893;9,772061503;92,31948211;;;
18;Car_001;2017;Sencha;;Vert;C;Nylon;Lipton;1;Broyeur;0;10;;0;4;Interne_Mais;99,66919322;95,23;0,54255;1,5568;1,1581;0,003308068;0,330806783;0,56235;0,560825;0;100;99,03760357;;0,541;1,569;0,7037;0;0;63,75081594;16,12474647;13,60784717;;;0,9527;;;;0,56015;;0,6753;8,462435073;13,39903702;38,23801793;;;0,6185;;;;0,56115;;0,5918;7,666104596;5,103045495;83,87525353;2,725709449;8,295991525;5,103045495;11,02170097;94,8969545;;;
19;Car_001;2017;Sencha;;Vert;C;Nylon;Lipton;1;Broyeur;0;11;;0;4;Interne_Mais;99,66919322;95,23;0,54255;1,5568;1,1581;0,003308068;0,330806783;0,56235;0,560825;0;100;98,9688716;;0,522;1,542;0,6845;0;0;63,75081594;16,23758501;13,70307282;;;0,9527;;;;0,56015;;0,6557;8,462435073;13,4467062;38,37405568;;;0,6185;;;;0,56115;;0,5744;7,666104596;5,301121867;83,76241499;2,79087881;8,145584329;5,301121867;10,93646314;94,69887813;;;
20;Car_001;2017;Sencha;;Vert;C;Nylon;Lipton;1;Broyeur;0;12;;0;4;Interne_Mais;99,66919322;95,23;0,54255;1,5568;1,1581;0,003308068;0,330806783;0,56235;0,560825;0;100;99,00584795;;0,531;1,539;0,6949;0;0;63,75081594;16,56748215;13,98147658;;;0,9527;;;;0,56015;;0,666;8,462435073;13,73549556;39,19819943;;;0,6185;;;;0,56115;;0,583;7,666104596;5,324070443;83,43251785;2,831986597;8,411425113;5,324070443;11,24341171;94,67592956;;;
21;Car_001;2017;Sencha;;Vert;C;Nylon;Lipton;1;Broyeur;0;13;;0;11;Interne_Mais;98,95693351;95,23;0,5693;1,5627;1,1791;0,010430665;1,043066487;0,558375;0,55865;0;99,80563654;100,1312336;;0,499;1,524;0,66885;0,002962099;0,19436346;63,99516213;16,26808157;13,67638989;;;;;;;;;;-111,4211979;-0,28916857;;;;;;;;;;;;;83,73191843;;;;;;;;
22;Car_001;2017;Sencha;;Vert;C;Nylon;Lipton;1;Broyeur;0;14;;0;11;Interne_Mais;98,95693351;95,23;0,5693;1,5627;1,1791;0,010430665;1,043066487;0,558375;0,55865;0;99,53399703;99,04392765;;0,54;1,548;0,70815;0,007213726;0,466002965;63,99516213;16,16872736;13,59286395;;;;;;;;;;-111,4211979;-0,72593846;;;;;;;;;;;;;83,83127264;;;;;;;;
23;Car_001;2017;Sencha;;Vert;C;Nylon;Lipton;1;Broyeur;0;15;;0;11;Interne_Mais;99,61192678;95,23;0,5512;1,5461;1,16295;0,003880732;0,388073216;0,5618;0,562125;0;100;98,96880968;;0,529;1,571;0,70305;0;0;64,37507606;16,84781894;14,08018001;;;0,8951;;;;0,5459;;0,6719;-3,027572666;15,30869655;-122,1126831;;;;;;;;;;;;83,15218106;1,539122396;;;;;;;
24;Car_001;2017;Sencha;;Vert;C;Nylon;Lipton;1;Broyeur;0;16;;0;11;Interne_Mais;99,61192678;95,23;0,5512;1,5461;1,16295;0,003880732;0,388073216;0,5618;0,562125;0;99,9553837;99,01315789;;0,508;1,52;0,6724;0,000678168;0,0446163;64,37507606;16,31724116;13,63676175;;;0,8951;;;;0,5459;;0,6449;-3,027572666;15,03637066;-119,9404247;;;;;;;;;;;;83,68275884;1,280870501;;;;;;;
25;Car_001;2017;Sencha;;Vert;C;Nylon;Lipton;1;Broyeur;0;17;;0;11;Interne_Mais;99,53473132;95,23;0,551;1,526;1,15755;0,004652687;0,465268676;0,5511;0,5522;0;99,8229305;98,98701299;;0,507;1,54;0,6777;0,00272687;0,1770695;65,00923831;16,35711025;13,53673038;;;0,8913;;;;0,5497;;0,6483;-13,37076447;13,70212992;-24,74850547;;;0,6282;;;;0,54895;;0,5818;8,082573532;7,25475178;83,64288975;2,654980326;6,447378141;7,25475178;9,102358467;92,74524822;;;
26;Car_001;2017;Sencha;;Vert;C;Nylon;Lipton;1;Broyeur;0;18;;0;11;Interne_Mais;99,53473132;95,23;0,551;1,526;1,15755;0,004652687;0,465268676;0,5511;0,5522;0;100;99,00327869;;0,508;1,525;0,6755;0;0;65,00923831;16,5351166;13,68404393;;;0,8913;;;;0,5497;;0,6476;-13,37076447;13,99301213;-25,27389093;;;0,6282;;;;0,54895;;0,5627;8,082573532;5,629547922;83,4648834;2,542104467;8,363464208;5,629547922;10,90556867;94,37045208;;;
27;Car_001;2018;Sencha;;Vert;C;Papier;Lipton;1;Broyeur;0;19;;0;10;Ankom;100;98;0,536066667;1,019433333;0,717533333;0;0;0,541183333;0,540366667;0;100;99,036086;;0,5375;1,0792;0,6234;0;0;38,47917851;16,16301715;15,2056578;;;0,6777;;;;0,539466667;;0,5962;30,25838534;11,25953517;11,53549955;;;0,565266667;;;;0,539133333;;0,5518;6,592920001;3,045051801;83,83698285;4,903481976;8,214483372;3,045051801;13,11796535;96,9549482;;;
28;Car_001;2018;Sencha;;Vert;C;Papier;Lipton;1;Broyeur;0;20;;0;10;Ankom;100;98;0,536066667;1,019433333;0,717533333;0;0;0,541183333;0,540366667;0;100;99,036086;;0,492;1,0123;0,5739;0;0;38,47917851;16,03820921;15,08824242;;;0,6777;;;;0,539466667;;0,5487;30,25838534;11,30649675;11,58361212;;;0,565266667;;;;0,539133333;;0,5062;6,592920001;3,117440131;83,96179079;4,731712461;8,189056617;3,117440131;12,92076908;96,88255987;;;
29;Car_001;2018;Sencha;;Vert;C;Papier;Lipton;1;Broyeur;0;21;;0;10;Ankom;100;98;0,536066667;1,019433333;0,717533333;0;0;0,541183333;0,540366667;0;100;99,036086;;0,5459;1,0814;;0;;38,47917851;-102,7789765;;;;0,6777;;;;0,539466667;;0,6045;30,25838534;11,37606599;11,65488647;;;0,565266667;;;;0,539133333;;0,5627;6,592920001;3,557704361;;;7,81836163;3,557704361;;;;;
30;C09_P3_R2;2018;Sencha;;Vert;C;Nylon;Lipton;1;Moulin_cafe;3;2;;9;4;Ankom;99,99326191;98;0,517133333;0,9894;0,6963;6,74E-05;0,00673809;0,507566667;0,507566667;0;99,33687003;94,6;;0,5036;1,002;0,754;0,006644562;0,663129973;38,69989163;52,04447966;48,68256949;;;0,6548;;;;0,506633333;;0,6429;28,49660947;28,52112152;31,0266654;;;0,545333333;;;;0,5062;;0,6009;6,379791134;19,64545578;47,95552034;23,52335814;8,875665743;19,64545578;32,39902388;80,35454422;;;
31;C09_P4_R1;2018;Sencha;;Vert;C;Nylon;Lipton;1;Moulin_cafe;4;1;;9;13;Ankom;100;98;0,54745;1,0468;0,741;0;0;0,550966667;0,550566667;0;99,90280646;94,8;;0,5664;1,0526;0,8231;0,001023059;0,097193537;39,63263404;55,61455858;50,79770925;;;0,697;;;;0,549933333;;0,7295;30,76994743;35,42887802;35,69376324;;;0,5801;;;;0,549533333;;0,6829;6,962967116;25,39807606;44,38544142;20,18568056;10,03080196;25,39807606;30,21648252;74,60192394;;;
32;C09_P4_R1;2018;Sencha;;Vert;C;Nylon;Lipton;1;Moulin_cafe;4;1;;9;13;Ankom;100;98;0,54745;1,0468;0,741;0;0;0,550966667;0,550566667;0;98,72839506;94,8;;0,5482;1,0795;0,81;0,013726975;1,271604938;39,63263404;49,9672566;45,63952744;;;0,697;;;;0,549933333;;0,7145;30,76994743;30,88903146;31,11997437;;;0,5801;;;;0,549533333;;0,6691;6,962967116;21,83917548;50,0327434;19,07822514;9,049855979;21,83917548;28,12808112;78,16082452;;;
33;C09_P4_R1;2018;Sencha;;Vert;C;Nylon;Lipton;1;Moulin_cafe;4;1;;9;13;Ankom;100;98;0,54745;1,0468;0,741;0;0;0,550966667;0,550566667;0;100;94,8;;;;;0;;39,63263404;#DIV/0!;;;;0,697;;;;0,549933333;;;30,76994743;#DIV/0!;;;;0,5801;;;;0,549533333;;;;;;;;;;;;;
34;C09_P7_R1;2018;Sencha;;Vert;C;Nylon;Lipton;1;Moulin_cafe;7;1;;9;15;Ankom;100;98;0,555833333;0,997766667;0,7245;0;0;0,5414;0,540866667;0;98,42814371;94,8;;0,5639;1,0912;0,9352;0,017152096;1,571856287;39,07095407;72,09081758;66,79354673;;;0,685866667;;;;0,540566667;;0,862;30,22177201;57,27697096;58,75188587;;;0,582933333;;;;0,5406;;0,7097;6,446934024;26,31607704;27,90918242;14,81384662;30,96089392;26,31607704;45,77474054;73,68392296;;;
35;C09_P7_R1;2018;Sencha;;Vert;C;Nylon;Lipton;1;Moulin_cafe;7;1;;9;15;Ankom;100;98;0,555833333;0,997766667;0,7245;0;0;0,5414;0,540866667;0;98,22882288;94,8;;0,5548;1,0569;0,909;0,018719571;1,771177118;39,07095407;71,86817688;66,58726579;;;0,685866667;;;;0,540566667;;0,8413;30,22177201;57,45450767;58,93399425;;;0,582933333;;;;0,5406;;0,6964;6,446934024;26,45653761;28,13182312;14,41366921;30,99797006;26,45653761;45,41163927;73,54346239;;;
36;C09_P7_R1;2018;Sencha;;Vert;C;Nylon;Lipton;1;Moulin_cafe;7;1;;9;15;Ankom;100;98;0,555833333;0,997766667;0,7245;0;0;0,5414;0,540866667;0;99,32515337;94,8;;0,592;1,1251;0,978;0,007592699;0,674846626;39,07095407;75,50088402;69,95303972;;;0,685866667;;;;0,540566667;;0,905;30,22177201;61,02348253;62,59487226;;;0,582933333;;;;0,5406;;0,7374;6,446934024;27,62765667;24,49911598;14,4774015;33,39582586;27,62765667;47,87322735;72,37234333;;;
37;C09_P7_R1;2018;Sencha;;Vert;C;Nylon;Lipton;1;Moulin_cafe;7;1;;9;14;Ankom;100;98;0,5614;1,025933333;0,758366667;0;0;0,5563;0,555066667;0;94,7075946;94,8;;0,5578;0,9235;0,7558;0,048875364;5,292405398;43,53970341;45,7949884;38,07510044;;;0,709;;;;0,5545;;0,6935;32,82128694;26,99355875;25,49565843;;;0,618266667;;;;0,5551;;0,6641;12,75751861;17,85607599;54,2050116;18,80142966;9,137482758;17,85607599;27,93891241;82,14392401;;;
38;C10_P3_R2;2018;Sencha;;Vert;C;Nylon;Lipton;1;Moulin_cafe;3;2;;10;4;Ankom;99,99326191;98;0,517133333;0,9894;0,6963;6,74E-05;0,00673809;0,507566667;0,507566667;0;99,67677772;94,6;;0,5362;1,051;0,8044;0,003397066;0,323222277;38,69989163;54,55054928;51,02675487;;;0,6548;;;;0,506633333;;0,7216;28,49660947;37,69650854;41,00809839;;;0,545333333;;;;0,5062;;0,6809;6,379791134;29,40643701;45,44945072;16,85404073;8,290071528;29,40643701;25,14411226;70,59356299;;;
39;C10_P5_R1;2018;Sencha;;Vert;C;Nylon;Lipton;1;Moulin_cafe;5;1;;10;7;Ankom;100;98;0,516966667;1,039233333;0,7177;0;0;0,517716667;0,518366667;0;100;94,85;;0,504;1,0163;0,7632;0;0;39,09260164;53,21226895;49,27490254;;;0,675133333;;;;0,5171;;0,7202;31,02302105;44,61678211;44,58367363;;;0,5509;;;;0,518833333;;0,6726;6,412058703;34,47359817;46,78773105;8,595486836;10,14318394;34,47359817;18,73867078;65,52640183;;;
40;C10_P5_R1;2018;Sencha;;Vert;C;Nylon;Lipton;1;Moulin_cafe;5;1;;10;7;Ankom;100;98;0,516966667;1,039233333;0,7177;0;0;0,517716667;0,518366667;0;99,7542044;94,85;;0,4938;1,0254;0,773;0,002520388;0,245795602;39,09260164;54,88446055;50,82336269;;;0,675133333;;;;0,5171;;0,7211;31,02302105;44,80622245;44,77297339;;;0,5509;;;;0,518833333;;0,6712;6,412058703;34,55672404;45,11553945;10,0782381;10,24949841;34,55672404;20,32773651;65,44327596;;;
