"","PertePoids","Sorte_The","Initial_Poids_Echantillon_g","Final_Poids_Echantillon_g","Producteur","Prelevement","Site","DoseRepPrel"
"1",-0.0800636267232238,"Residus_Canneberges",1.886,2.037,"Belanger",7,"A9","0_1_A9_7"
"2",0.00417754569190601,"Residus_Canneberges",1.915,1.907,"Belanger",7,"A9","0_1_A9_7"
"3",0.0388297872340425,"Residus_Canneberges",1.88,1.807,"Belanger",7,"A9","0_1_A9_7"
"4",-0.0156494522691706,"Residus_Canneberges",1.917,1.947,"Belanger",7,"A9","0_2_A9_7"
"5",0.115303983228512,"Residus_Canneberges",1.908,1.688,"Belanger",7,"A9","0_2_A9_7"
"6",0.000526592943654614,"Residus_Canneberges",1.899,1.898,"Belanger",7,"A9","0_2_A9_7"
"7",-0.00896624472573846,"Residus_Canneberges",1.896,1.913,"Belanger",7,"A9","15_1_A9_7"
"8",0.00263574064312078,"Residus_Canneberges",1.897,1.892,"Belanger",7,"A9","15_1_A9_7"
"9",-0.0182481751824818,"Residus_Canneberges",1.918,1.953,"Belanger",7,"A9","15_1_A9_7"
"10",0.110413396127682,"Residus_Canneberges",1.911,1.7,"Belanger",7,"A9","15_2_A9_7"
"11",0.00262605042016801,"Residus_Canneberges",1.904,1.899,"Belanger",7,"A9","15_2_A9_7"
"12",-0.00471945464079701,"Residus_Canneberges",1.907,1.916,"Belanger",7,"A9","15_2_A9_7"
"13",0.0428198433420366,"Residus_Canneberges",1.915,1.833,"Belanger",7,"A9","30_1_A9_7"
"14",-0.0348958333333334,"Residus_Canneberges",1.92,1.987,"Belanger",7,"A9","30_1_A9_7"
"15",-0.00682414698162724,"Residus_Canneberges",1.905,1.918,"Belanger",7,"A9","30_1_A9_7"
"16",-0.00524109014675053,"Residus_Canneberges",1.908,1.918,"Belanger",7,"A9","30_2_A9_7"
"17",-0.0156168662155128,"Residus_Canneberges",1.921,1.951,"Belanger",7,"A9","30_2_A9_7"
"18",-0.0253164556962026,"Residus_Canneberges",1.896,1.944,"Belanger",7,"A9","30_2_A9_7"
"19",0.0151673640167364,"Residus_Canneberges",1.912,1.883,"Belanger",7,"A9","45_1_A9_7"
"20",0.042485395645247,"Residus_Canneberges",1.883,1.803,"Belanger",7,"A9","45_1_A9_7"
"21",0.00998948475289164,"Residus_Canneberges",1.902,1.883,"Belanger",7,"A9","45_1_A9_7"
"22",0.0183630640083945,"Residus_Canneberges",1.906,1.871,"Belanger",7,"A9","45_2_A9_7"
"23",0.0124869927159209,"Residus_Canneberges",1.922,1.898,"Belanger",7,"A9","45_2_A9_7"
"24",-0.0217166494312306,"Residus_Canneberges",1.934,1.976,"Belanger",7,"A9","45_2_A9_7"
"25",-0.0453834115805947,"Residus_Canneberges",1.917,2.004,"Belanger",7,"A9","60_1_A9_7"
"26",-0.0182481751824818,"Residus_Canneberges",1.918,1.953,"Belanger",7,"A9","60_1_A9_7"
"27",-0.0015698587127158,"Residus_Canneberges",1.911,1.914,"Belanger",7,"A9","60_1_A9_7"
"28",0.268562401263823,"Residus_Canneberges",1.899,1.389,"Belanger",7,"A9","60_2_A9_7"
"29",0.238095238095238,"Residus_Canneberges",1.89,1.44,"Belanger",7,"A9","60_2_A9_7"
"30",-0.0105429625724829,"Residus_Canneberges",1.897,1.917,"Belanger",7,"A9","30_2_A9_7"
"31",-0.0186528497409327,"Residus_Canneberges",1.93,1.966,"Belanger",7,"A9","30_2_A9_7"
"32",0.21519659936238,"Residus_Canneberges",1.882,1.477,"Belanger",7,"A9","45_2_A9_7"
"33",0.00157068062827219,"Residus_Canneberges",1.91,1.907,"Belanger",7,"A9","45_2_A9_7"
"34",0.00212089077412513,"Residus_Canneberges",1.886,1.882,"Belanger",7,"A9","60_2_A9_7"
"35",0.0285269709543568,"Residus_Canneberges",1.928,1.873,"Belanger",7,"A9","60_2_A9_7"
"36",0.026329375322664,"Residus_Canneberges",1.937,1.886,"Belanger",7,"A9","NA_1_A9_7"
