NoOriginal;Farmers;Site;Regie;Prélèvement;TeaType;Répétition;Poids_Contenu (g);Poids_Total _g;Poids_sac _g;Poids_final_g
946G;Fortier;45;Conventionel;1;Green tea;1;1.774;2.127;0.353;1.0455
947G;Fortier;45;Conventionel;1;Green tea;1;1.802;2.159;0.357;1.0219
948G;Fortier;45;Conventionel;1;Green tea;1;1.81;2.171;0.361;1.095
949G;Fortier;45;Conventionel;1;Green tea;1;1.754;2.11;0.357;1.0212
950G;Fortier;45;Conventionel;1;Green tea;1;1.751;2.108;0.357;1.0413
951G;Fortier;45;Conventionel;1;Green tea;1;1.785;2.145;0.359;1.0841
952G;Fortier;45;Conventionel;1;Green tea;1;1.793;2.151;0.361;1.0481
953G;Fortier;45;Conventionel;1;Green tea;1;1.798;2.151;0.354;1.019
954G;Fortier;45;Conventionel;1;Green tea;1;1.799;2.157;0.357;1.0302
955G;Fortier;45;Conventionel;1;Green tea;1;1.801;2.165;0.364;1.0885
956G;Fortier;45;Conventionel;1;Green tea;1;1.802;2.163;0.359;1.0617
957G;Fortier;45;Conventionel;1;Green tea;1;1.789;2.145;0.356;1.0963
958G;Fortier;45;Conventionel;1;Green tea;1;1.757;2.121;0.369;1.0564
959G;Fortier;45;Conventionel;1;Green tea;1;1.761;2.123;0.362;
960G;Fortier;45;Conventionel;1;Green tea;1;1.764;2.132;0.369;
961G;Fortier;45;Conventionel;1;Green tea;1;1.761;2.121;0.359;1.0607
962G;Fortier;45;Conventionel;1;Green tea;1;1.802;2.168;0.364;1.0985
963G;Fortier;45;Conventionel;1;Green tea;1;1.791;2.152;0.361;
964G;Fortier;45;Conventionel;1;Green tea;1;1.773;2.133;0.358;1.0121
965G;Fortier;45;Conventionel;1;Green tea;1;1.803;2.163;0.361;1.1339
603S;Fortier;45;Conventionel;1;Rooibos tea;1;1.925;2.286;0.361;1.6737
604S;Fortier;45;Conventionel;1;Rooibos tea;1;1.925;2.292;0.366;1.6698
605S;Fortier;45;Conventionel;1;Rooibos tea;1;1.906;2.269;0.363;1.6671
606S;Fortier;45;Conventionel;1;Rooibos tea;1;1.911;2.271;0.36;1.6567
607S;Fortier;45;Conventionel;1;Rooibos tea;1;1.909;2.266;0.356;1.6616
608S;Fortier;45;Conventionel;1;Rooibos tea;1;1.918;2.272;0.355;1.6635
609S;Fortier;45;Conventionel;1;Rooibos tea;1;1.92;2.271;0.357;1.6874
610S;Fortier;45;Conventionel;1;Rooibos tea;1;1.895;2.251;0.355;1.6555
611S;Fortier;45;Conventionel;1;Rooibos tea;1;1.914;2.276;0.362;1.6636
612S;Fortier;45;Conventionel;1;Rooibos tea;1;1.908;2.266;0.359;1.6455
613S;Fortier;45;Conventionel;1;Rooibos tea;1;1.902;2.261;0.36;
614S;Fortier;45;Conventionel;1;Rooibos tea;1;1.921;2.278;0.357;1.6732
615S;Fortier;45;Conventionel;1;Rooibos tea;1;1.9;2.259;0.36;
616S;Fortier;45;Conventionel;1;Rooibos tea;1;1.927;2.283;0.358;1.6661
617S;Fortier;45;Conventionel;1;Rooibos tea;1;1.917;2.304;0.387;1.6618
618S;Fortier;45;Conventionel;1;Rooibos tea;1;1.901;2.254;0.353;1.6695
619S;Fortier;45;Conventionel;1;Rooibos tea;1;1.918;2.272;0.356;1.6745
620S;Fortier;45;Conventionel;1;Rooibos tea;1;1.92;2.278;0.359;1.6245
621S;Fortier;45;Conventionel;1;Rooibos tea;1;1.915;2.274;0.359;1.6561
622S;Fortier;45;Conventionel;1;Rooibos tea;1;1.924;2.283;0.359;1.6914
532N;Fortier;45;Conventionel;1;Cranberry litter;1;1.884;2.247;0.361;1.8986
533N;Fortier;45;Conventionel;1;Cranberry litter;1;1.928;2.295;0.367;1.9858
534N;Fortier;45;Conventionel;1;Cranberry litter;1;1.922;2.283;0.36;1.9929
535N;Fortier;45;Conventionel;1;Cranberry litter;1;1.917;2.279;0.364;1.9311
536N;Fortier;45;Conventionel;1;Cranberry litter;1;1.916;2.283;0.367;1.9441
537N;Fortier;45;Conventionel;1;Cranberry litter;1;1.93;2.295;0.364;1.9004
538N;Fortier;45;Conventionel;1;Cranberry litter;1;1.894;2.256;0.363;1.9472
539N;Fortier;45;Conventionel;1;Cranberry litter;1;1.9;2.263;0.364;1.9618
540N;Fortier;45;Conventionel;1;Cranberry litter;1;1.935;2.303;0.367;1.9803
541N;Fortier;45;Conventionel;1;Cranberry litter;1;1.935;2.294;0.36;1.9948
542N;Fortier;45;Conventionel;1;Cranberry litter;1;1.929;2.297;0.368;1.8828
543N;Fortier;45;Conventionel;1;Cranberry litter;1;1.909;2.272;0.363;2.0101
544N;Fortier;45;Conventionel;1;Cranberry litter;1;1.922;2.283;0.361;1.9746
545N;Fortier;45;Conventionel;1;Cranberry litter;1;1.893;2.262;0.369;1.939
546N;Fortier;45;Conventionel;1;Cranberry litter;1;1.923;2.283;0.359;1.9813
547N;Fortier;45;Conventionel;1;Cranberry litter;1;1.927;2.287;0.36;1.9952
548N;Fortier;45;Conventionel;1;Cranberry litter;1;1.893;2.26;0.365;
549N;Fortier;45;Conventionel;1;Cranberry litter;1;1.916;2.279;0.362;2.0033
550N;Fortier;45;Conventionel;1;Cranberry litter;1;1.898;2.267;0.369;
551N;Fortier;45;Conventionel;1;Cranberry litter;1;1.886;2.255;0.369;1.97884
966G;Fortier;45;Conventionel;1;Green tea;2;1.796;2.151;0.356;1.0674
967G;Fortier;45;Conventionel;1;Green tea;2;1.775;2.13;0.354;1.0457
968G;Fortier;45;Conventionel;1;Green tea;2;1.758;2.111;0.35;1.0551
969G;Fortier;45;Conventionel;1;Green tea;2;1.768;2.126;0.357;
970G;Fortier;45;Conventionel;1;Green tea;2;1.774;2.135;0.361;1.0833
971G;Fortier;45;Conventionel;1;Green tea;2;1.771;2.134;0.361;1.0437
972G;Fortier;45;Conventionel;1;Green tea;2;1.795;2.159;0.364;1.0831
973G;Fortier;45;Conventionel;1;Green tea;2;1.799;2.16;0.361;
974G;Fortier;45;Conventionel;1;Green tea;2;1.783;2.137;0.353;1.0603
975G;Fortier;45;Conventionel;1;Green tea;2;1.767;2.123;0.356;1.0524
976G;Fortier;45;Conventionel;1;Green tea;2;1.758;2.114;0.357;1.072
977G;Fortier;45;Conventionel;1;Green tea;2;1.795;2.152;0.357;1.0758
978G;Fortier;45;Conventionel;1;Green tea;2;1.758;2.124;0.366;
979G;Fortier;45;Conventionel;1;Green tea;2;1.764;2.122;0.359;1.062
980G;Fortier;45;Conventionel;1;Green tea;2;1.799;2.154;0.356;1.0807
981G;Fortier;45;Conventionel;1;Green tea;2;1.755;2.114;0.359;1.0648
982G;Fortier;45;Conventionel;1;Green tea;2;1.786;2.15;0.363;1.0617
983G;Fortier;45;Conventionel;1;Green tea;2;1.752;2.111;0.359;
984G;Fortier;45;Conventionel;1;Green tea;2;1.766;2.122;0.357;1.0727
985G;Fortier;45;Conventionel;1;Green tea;2;1.767;2.13;0.362;1.0802
623S;Fortier;45;Conventionel;1;Rooibos tea;2;1.929;2.294;0.365;1.5912
624S;Fortier;45;Conventionel;1;Rooibos tea;2;1.909;2.272;0.364;1.4857
625S;Fortier;45;Conventionel;1;Rooibos tea;2;1.912;2.279;0.368;1.559
626S;Fortier;45;Conventionel;1;Rooibos tea;2;1.903;2.259;0.356;1.6011
627S;Fortier;45;Conventionel;1;Rooibos tea;2;1.909;2.261;0.352;1.5602
628S;Fortier;45;Conventionel;1;Rooibos tea;2;1.92;2.28;0.36;1.5838
629S;Fortier;45;Conventionel;1;Rooibos tea;2;1.892;2.247;0.354;1.5269
630S;Fortier;45;Conventionel;1;Rooibos tea;2;1.922;2.279;0.357;1.5767
631S;Fortier;45;Conventionel;1;Rooibos tea;2;1.904;2.262;0.36;1.564
632S;Fortier;45;Conventionel;1;Rooibos tea;2;1.904;2.262;0.358;1.5461
633S;Fortier;45;Conventionel;1;Rooibos tea;2;1.918;2.283;0.365;1.6166
634S;Fortier;45;Conventionel;1;Rooibos tea;2;1.9;2.256;0.356;1.4965
