No;TypeThe;SorteThe;PoidsContenu_g;PoidsTotal _g;PoidsSac_g;Poids_Restant_g;Producteur;Champs;Regie;TypeAzote;DoseN;Repetition;Teneur_C_Initial_g;Teneur_N_Initial_g;Teneur_S_Initial_g;Pourcentage_C_Final;Teneur_C_Final_g;Pourcentage_N_Final;Teneur_N_Final_g;Pourcentage_S_Final;Teneur_S_Final_g;Difference_C_Total_g;Difference_N_Total_g;Difference_S_Total_g;GreenTMoy_C;GreenTMoy_N;GreenTMoy_S
829;G;GrenTea;1,758;2,117;0,36;0,784;Fortier;45;Conventionel;N;0;1;0,84374624;0,05936766;0,00340466;49,476;0,38789184;4,4698;0,035043232;0,27;0,0021168;0,4558544;0,024324428;0,00128786;47,99466667;3,377;0,193666667
830;G;GrenTea;1,751;2,113;0,362;0,587;Fortier;45;Conventionel;N;0;1;0,840386613;0,05913127;0,003391103;53,023;0,31124501;3,9144;0,022977528;0,253;0,00148511;0,529141603;0,036153742;0,001905993;RooibosMoy_C;RooibosMoy_N;RooibosMoy_S
831;G;GrenTea;1,778;2,13;0,351;0,727;Fortier;45;Conventionel;N;0;1;0,853345173;0,06004306;0,003443393;48,812;0,35486324;5,2095;0,037873065;0,339;0,00246453;0,498481933;0,022169995;0,000978863;47,79166667;1,040022222;0,090222222
832;G;GrenTea;1,784;2,143;0,359;0,744;Fortier;45;Conventionel;N;0;2;0,856224853;0,06024568;0,003455013;51,763;0,38511672;4,8061;0,035757384;0,281;0,00209064;0,471108133;0,024488296;0,001364373;ResiduCan_C;ResiduCan_N;ResiduCan_S
833;G;GrenTea;1,784;2,145;0,361;0,737;Fortier;45;Conventionel;N;0;2;0,856224853;0,06024568;0,003455013;50,478;0,37202286;4,0142;0,029584654;0,272;0,00200464;0,484201993;0,030661026;0,001450373;50,033;0,90172;0,0757
834;G;GrenTea;1,782;2,136;0,355;0,804;Fortier;45;Conventionel;N;0;2;0,85526496;0,06017814;0,00345114;51,163;0,41135052;5,2482;0,042195528;0,307;0,00246828;0,44391444;0,017982612;0,00098286;HibiscusTMoy_C;HibiscusTMoy_N;HibiscusTMoy_S
835;G;GrenTea;1,757;2,112;0,356;0,848;Fortier;45;Conventionel;N;15;1;0,843266293;0,05933389;0,003402723;50,556;0,42871488;4,7736;0,040480128;0,325;0,002756;0,414551413;0,018853762;0,000646723;46,04066667;0,872726667;0,0857
836;G;GrenTea;1,784;2,142;0,357;0,692;Fortier;45;Conventionel;N;15;1;0,856224853;0,06024568;0,003455013;50,686;0,35074712;3,8653;0,026747876;0,29;0,0020068;0,505477733;0,033497804;0,001448213;SenchTMoy_C;SenchTMoy_N;SenchTMoy_S
837;G;GrenTea;1,779;2,134;0,355;0,836;Fortier;45;Conventionel;N;15;1;0,85382512;0,06007683;0,00344533;50,614;0,42313304;4,6776;0,039104736;0,287;0,00239932;0,43069208;0,020972094;0,00104601;47,08725;3,6811;0,161
838;G;GrenTea;1,766;2,125;0,359;0,61;Fortier;45;Conventionel;N;15;2;0,847585813;0,05963782;0,003420153;50,489;0,3079829;3,7105;0,02263405;0,246;0,0015006;0,539602913;0,03700377;0,001919553;;;
