No;TypeThe;SorteThe;PoidsContenu_g;PoidsTotal _g;PoidsSac_g;Poids_Restant_g;Producteur;Champs;Regie;TypeAzote;DoseN;Repetition;Teneur_C;Teneur_N;Teneur_S
1;G;GrenTea;1,793;2,019;0,226;0,783;Belanger;A9;Biologique;N;0;1;;;
2;G;GrenTea;1,786;2,011;0,225;0,797;Belanger;A9;Biologique;N;0;1;;;
3;G;GrenTea;1,782;2,008;0,228;;Belanger;A9;Biologique;N;0;1;;;
4;G;GrenTea;1,76;1,987;0,227;0,778;Belanger;A9;Biologique;N;0;2;;;
5;G;GrenTea;1,788;2,013;0,226;0,779;Belanger;A9;Biologique;N;0;2;;;
6;G;GrenTea;1,779;2,004;0,227;;Belanger;A9;Biologique;N;0;2;;;
7;G;GrenTea;1,799;2,025;0,227;0,793;Belanger;A9;Biologique;N;15;1;;;
8;G;GrenTea;1,761;1,985;0,228;0,783;Belanger;A9;Biologique;N;15;1;;;
9;G;GrenTea;1,782;2,008;0,226;0,717;Belanger;A9;Biologique;N;15;1;;;
10;G;GrenTea;1,758;1,985;0,226;0,812;Belanger;A9;Biologique;N;15;2;;;
11;G;GrenTea;1,793;2,018;0,227;0,77;Belanger;A9;Biologique;N;15;2;;;
12;G;GrenTea;1,797;2,023;0,227;0,714;Belanger;A9;Biologique;N;15;2;;;
13;G;GrenTea;1,799;2,024;0,226;;Belanger;A9;Biologique;N;30;1;;;
14;G;GrenTea;1,798;2,027;0,229;0,768;Belanger;A9;Biologique;N;30;1;;;
15;G;GrenTea;1,795;2,023;0,228;;Belanger;A9;Biologique;N;30;1;;;
16;G;GrenTea;1,769;1,996;0,228;0,743;Belanger;A9;Biologique;N;30;2;;;
17;G;GrenTea;1,766;1,994;0,227;0,804;Belanger;A9;Biologique;N;30;2;;;
18;G;GrenTea;1,792;2,019;0,227;0,833;Belanger;A9;Biologique;N;30;2;;;
19;G;GrenTea;1,766;1,992;0,226;0,7;Belanger;A9;Biologique;N;45;1;;;
20;G;GrenTea;1,781;2,007;0,226;0,809;Belanger;A9;Biologique;N;45;1;;;
21;G;GrenTea;1,765;1,994;0,228;0,723;Belanger;A9;Biologique;N;45;1;;;
22;G;GrenTea;1,774;2,002;0,229;;Belanger;A9;Biologique;N;45;2;;;
23;G;GrenTea;1,779;2,007;0,228;0,751;Belanger;A9;Biologique;N;45;2;;;
24;G;GrenTea;1,771;1,998;0,226;1,291;Belanger;A9;Biologique;N;45;2;;;
25;G;GrenTea;1,797;2,023;0,226;0,859;Belanger;A9;Biologique;N;60;1;;;
26;G;GrenTea;1,793;2,02;0,227;0,789;Belanger;A9;Biologique;N;60;1;;;
27;G;GrenTea;1,771;2;0,229;;Belanger;A9;Biologique;N;60;1;;;
28;G;GrenTea;1,792;2,019;0,227;0,828;Belanger;A9;Biologique;N;60;2;;;
29;G;GrenTea;1,766;1,994;0,228;0,774;Belanger;A9;Biologique;N;60;2;;;
30;G;GrenTea;1,787;2,015;0,227;0,826;Belanger;A9;Biologique;N;60;2;;;
31;G;GrenTea;1,778;2,002;0,226;0,744;Belanger;A9;Biologique;N-6-1-1;60;2;;;
32;G;GrenTea;1,751;1,979;0,228;;Belanger;A9;Biologique;N-6-1-1;60;2;;;
33;G;GrenTea;1,789;2,016;0,227;0,803;Belanger;A9;Biologique;N-6-1-1;45;2;;;
34;G;GrenTea;1,76;1,988;0,228;1,316;Belanger;A9;Biologique;N-6-1-1;45;2;;;
35;G;GrenTea;1,786;2,015;0,228;0,799;Belanger;A9;Biologique;N-6-1-1;30;2;;;
36;G;GrenTea;1,792;2,019;0,227;0,813;Belanger;A9;Biologique;N-6-1-1;30;2;;;
1;S;Rooibos;1,905;2,134;0,229;1,534;Belanger;A9;Biologique;N;0;1;;;
2;S;Rooibos;1,892;2,118;0,226;1,497;Belanger;A9;Biologique;N;0;1;;;
3;S;Rooibos;1,895;2,122;0,228;1,342;Belanger;A9;Biologique;N;0;1;;;
4;S;Rooibos;1,907;2,138;0,231;1,308;Belanger;A9;Biologique;N;0;2;;;
5;S;Rooibos;1,91;2,137;0,227;1,532;Belanger;A9;Biologique;N;0;2;;;
6;S;Rooibos;1,908;2,136;0,229;1,495;Belanger;A9;Biologique;N;0;2;;;
7;S;Rooibos;1,912;2,14;0,229;1,501;Belanger;A9;Biologique;N;15;1;;;
8;S;Rooibos;1,908;2,134;0,226;1,394;Belanger;A9;Biologique;N;15;1;;;
9;S;Rooibos;1,913;2,141;0,228;1,464;Belanger;A9;Biologique;N;15;1;;;
10;S;Rooibos;1,918;2,145;0,227;1,486;Belanger;A9;Biologique;N;15;2;;;
11;S;Rooibos;1,901;2,13;0,228;1,351;Belanger;A9;Biologique;N;15;2;;;
12;S;Rooibos;1,899;2,129;0,23;1,362;Belanger;A9;Biologique;N;15;2;;;
13;S;Rooibos;1,896;2,126;0,23;1,507;Belanger;A9;Biologique;N;30;1;;;
14;S;Rooibos;1,91;2,137;0,227;1,459;Belanger;A9;Biologique;N;30;1;;;
15;S;Rooibos;1,918;2,146;0,228;1,465;Belanger;A9;Biologique;N;30;1;;;
16;S;Rooibos;1,901;2,13;0,23;1,39;Belanger;A9;Biologique;N;30;2;;;
17;S;Rooibos;1,899;2,127;0,228;1,444;Belanger;A9;Biologique;N;30;2;;;
18;S;Rooibos;1,904;2,132;0,227;1,398;Belanger;A9;Biologique;N;30;2;;;
19;S;Rooibos;1,91;2,138;0,228;1,318;Belanger;A9;Biologique;N;45;1;;;
20;S;Rooibos;1,897;2,128;0,231;;Belanger;A9;Biologique;N;45;1;;;
21;S;Rooibos;1,917;2,143;0,226;1,442;Belanger;A9;Biologique;N;45;1;;;
22;S;Rooibos;1,918;2,145;0,228;1,394;Belanger;A9;Biologique;N;45;2;;;
23;S;Rooibos;1,893;2,122;0,229;1,473;Belanger;A9;Biologique;N;45;2;;;
24;S;Rooibos;1,914;2,141;0,227;;Belanger;A9;Biologique;N;45;2;;;
25;S;Rooibos;1,895;2,122;0,226;1,394;Belanger;A9;Biologique;N;60;1;;;
