No;TypeThe;Tea type;Producteur;Champs;Regie;TypeAzote;DoseN;Repetition;Initial_Perc_C;Initial_Perc_N;Initial_Perc_S
13;G;Green tea;Belanger;A9;Biologique;N;30;1;;;
14;G;Green tea;Belanger;A9;Biologique;N;30;1;49,661;5,2464;0,286
15;G;Green tea;Belanger;A9;Biologique;N;30;1;;;
16;G;Green tea;Belanger;A9;Biologique;N;30;2;50,512;5,2547;0,292
17;G;Green tea;Belanger;A9;Biologique;N;30;2;49,708;5,0434;0,275
18;G;Green tea;Belanger;A9;Biologique;N;30;2;49,638;5,0262;0,279
19;G;Green tea;Belanger;A9;Biologique;N;45;1;48,953;4,9144;0,285
20;G;Green tea;Belanger;A9;Biologique;N;45;1;50,151;4,3896;0,258
21;G;Green tea;Belanger;A9;Biologique;N;45;1;50,076;3,7431;0,23
22;G;Green tea;Belanger;A9;Biologique;N;45;2;;;
23;G;Green tea;Belanger;A9;Biologique;N;45;2;49,958;5,1213;0,285
24;G;Green tea;Belanger;A9;Biologique;N;45;2;;;
25;G;Green tea;Belanger;A9;Biologique;N;60;1;49,798;3,9277;0,238
26;G;Green tea;Belanger;A9;Biologique;N;60;1;;;
27;G;Green tea;Belanger;A9;Biologique;N;60;1;;;
28;G;Green tea;Belanger;A9;Biologique;N;60;2;50,266;3,9173;0,257
29;G;Green tea;Belanger;A9;Biologique;N;60;2;49,6;5,325;0,284
30;G;Green tea;Belanger;A9;Biologique;N;60;2;50,567;4,8376;0,266
31;G;Green tea;Belanger;A9;Biologique;N-6-1-1;60;2;50,361;4,9564;0,272
32;G;Green tea;Belanger;A9;Biologique;N-6-1-1;60;2;;;
33;G;Green tea;Belanger;A9;Biologique;N-6-1-1;45;2;49,746;5,2747;0,288
34;G;Green tea;Belanger;A9;Biologique;N-6-1-1;45;2;50,147;5,3952;0,282
35;G;Green tea;Belanger;A9;Biologique;N-6-1-1;30;2;47,897;4,8253;0,258
36;G;Green tea;Belanger;A9;Biologique;N-6-1-1;30;2;48,915;4,7691;0,272
13;S;Rooibos tea;Belanger;A9;Biologique;N;30;1;45,6;0,69923;0,0254
14;S;Rooibos tea;Belanger;A9;Biologique;N;30;1;46,94;0,84806;0,0356
15;S;Rooibos tea;Belanger;A9;Biologique;N;30;1;46,415;0,83329;0,042
16;S;Rooibos tea;Belanger;A9;Biologique;N;30;2;46,451;0,82498;0,0311
17;S;Rooibos tea;Belanger;A9;Biologique;N;30;2;45,502;0,7767;0,0318
18;S;Rooibos tea;Belanger;A9;Biologique;N;30;2;43,972;0,63764;0,0254
19;S;Rooibos tea;Belanger;A9;Biologique;N;45;1;50,197;1,0435;0,0386
20;S;Rooibos tea;Belanger;A9;Biologique;N;45;1;;;
21;S;Rooibos tea;Belanger;A9;Biologique;N;45;1;46,684;0,68682;0,0198
22;S;Rooibos tea;Belanger;A9;Biologique;N;45;2;48,972;0,58367;0,015
23;S;Rooibos tea;Belanger;A9;Biologique;N;45;2;49,874;0,72113;0,0214
24;S;Rooibos tea;Belanger;A9;Biologique;N;45;2;;;
25;S;Rooibos tea;Belanger;A9;Biologique;N;60;1;45,871;0,67665;0,0344
26;S;Rooibos tea;Belanger;A9;Biologique;N;60;1;47,175;0,65084;0,0179
27;S;Rooibos tea;Belanger;A9;Biologique;N;60;1;49,636;0,98351;0,0378
28;S;Rooibos tea;Belanger;A9;Biologique;N;60;2;47,1;0,83206;0,0364
29;S;Rooibos tea;Belanger;A9;Biologique;N;60;2;47,463;0,6474;0,0184
30;S;Rooibos tea;Belanger;A9;Biologique;N;60;2;44,325;0,62286;0,0186
31;S;Rooibos tea;Belanger;A9;Biologique;N;60;2;44,485;0,61915;0,0206
32;S;Rooibos tea;Belanger;A9;Biologique;N;60;2;42,687;0,89221;0,0463
33;S;Rooibos tea;Belanger;A9;Biologique;N;45;2;45,836;0,82029;0,0359
34;S;Rooibos tea;Belanger;A9;Biologique;N;45;2;47,973;0,7155;0,0226
35;S;Rooibos tea;Belanger;A9;Biologique;N;30;2;48,809;0,93119;0,0366
36;S;Rooibos tea;Belanger;A9;Biologique;N;30;2;43,227;0,64575;0,0269
166;G;Green tea;Belanger;10;Conventionel;N;30;1;51,581;4,4809;0,259
167;G;Green tea;Belanger;10;Conventionel;N;30;1;50,195;3,946;0,243
168;G;Green tea;Belanger;10;Conventionel;N;30;1;51,353;4,4647;0,26
169;G;Green tea;Belanger;10;Conventionel;N;30;1;;;
170;G;Green tea;Belanger;10;Conventionel;N;30;2;51,042;4,739;0,277
171;G;Green tea;Belanger;10;Conventionel;N;30;2;49,976;4,9552;0,276
172;G;Green tea;Belanger;10;Conventionel;N;30;2;47,521;4,1047;0,243
173;G;Green tea;Belanger;10;Conventionel;N;45;1;49,761;4,9617;0,268
174;G;Green tea;Belanger;10;Conventionel;N;45;1;49,665;4,652;0,27
175;G;Green tea;Belanger;10;Conventionel;N;45;1;51,41;4,7341;0,265
176;G;Green tea;Belanger;10;Conventionel;N;45;2;50,389;4,8017;0,272
177;G;Green tea;Belanger;10;Conventionel;N;45;2;51,256;4,9288;0,28
178;G;Green tea;Belanger;10;Conventionel;N;45;2;50,469;4,6108;0,261
179;G;Green tea;Belanger;10;Conventionel;N;60;1;49,823;4,501;0,263
180;G;Green tea;Belanger;10;Conventionel;N;60;1;49,642;4,3622;0,245
181;G;Green tea;Belanger;10;Conventionel;N;60;1;49,494;4,2817;0,257
