"","No","Tea type abbr","Tea type","Initial tea weight (g)","Initial total weight (g)","Initial bag weight (g)","Remaining tea weight (g)","Farm","Site","Farming system","Nitrogen type","Nitrogen dose","Repetition","Remaining C (%)","Remaining N (%)","Remaining S (%)","Initial C fraction"
"1",13,"G","Green tea",1.799,2.024,0.226,NA,"Belanger","A9","Organic","N-8-0-0",30,1,NA,NA,NA,0.863424053
"2",14,"G","Green tea",1.798,2.027,0.229,0.768,"Belanger","A9","Organic","N-8-0-0",30,1,49.661,5.2464,0.286,0.862944107
"3",15,"G","Green tea",1.795,2.023,0.228,NA,"Belanger","A9","Organic","N-8-0-0",30,1,NA,NA,NA,0.861504267
"4",16,"G","Green tea",1.769,1.996,0.228,0.743,"Belanger","A9","Organic","N-8-0-0",30,2,50.512,5.2547,0.292,0.849025653
"5",17,"G","Green tea",1.766,1.994,0.227,0.804,"Belanger","A9","Organic","N-8-0-0",30,2,49.708,5.0434,0.275,0.847585813
"6",18,"G","Green tea",1.792,2.019,0.227,0.833,"Belanger","A9","Organic","N-8-0-0",30,2,49.638,5.0262,0.279,0.860064427
"7",19,"G","Green tea",1.766,1.992,0.226,0.7,"Belanger","A9","Organic","N-8-0-0",45,1,48.953,4.9144,0.285,0.847585813
"8",20,"G","Green tea",1.781,2.007,0.226,0.809,"Belanger","A9","Organic","N-8-0-0",45,1,50.151,4.3896,0.258,0.854785013
"9",21,"G","Green tea",1.765,1.994,0.228,0.723,"Belanger","A9","Organic","N-8-0-0",45,1,50.076,3.7431,0.23,0.847105867
"10",22,"G","Green tea",1.774,2.002,0.229,NA,"Belanger","A9","Organic","N-8-0-0",45,2,NA,NA,NA,0.851425387
"11",23,"G","Green tea",1.779,2.007,0.228,0.751,"Belanger","A9","Organic","N-8-0-0",45,2,49.958,5.1213,0.285,0.85382512
"12",24,"G","Green tea",1.771,1.998,0.226,1.291,"Belanger","A9","Organic","N-8-0-0",45,2,NA,NA,NA,0.849985547
"13",25,"G","Green tea",1.797,2.023,0.226,0.859,"Belanger","A9","Organic","N-8-0-0",60,1,49.798,3.9277,0.238,0.86246416
"14",26,"G","Green tea",1.793,2.02,0.227,0.789,"Belanger","A9","Organic","N-8-0-0",60,1,NA,NA,NA,0.860544373
"15",27,"G","Green tea",1.771,2,0.229,NA,"Belanger","A9","Organic","N-8-0-0",60,1,NA,NA,NA,0.849985547
"16",28,"G","Green tea",1.792,2.019,0.227,0.828,"Belanger","A9","Organic","N-8-0-0",60,2,50.266,3.9173,0.257,0.860064427
"17",29,"G","Green tea",1.766,1.994,0.228,0.774,"Belanger","A9","Organic","N-8-0-0",60,2,49.6,5.325,0.284,0.847585813
"18",30,"G","Green tea",1.787,2.015,0.227,0.826,"Belanger","A9","Organic","N-8-0-0",60,2,50.567,4.8376,0.266,0.857664693
"19",31,"G","Green tea",1.778,2.002,0.226,0.744,"Belanger","A9","Organic","N-6-1-1",60,2,50.361,4.9564,0.272,0.853345173
"20",32,"G","Green tea",1.751,1.979,0.228,NA,"Belanger","A9","Organic","N-6-1-1",60,2,NA,NA,NA,0.840386613
"21",33,"G","Green tea",1.789,2.016,0.227,0.803,"Belanger","A9","Organic","N-6-1-1",45,2,49.746,5.2747,0.288,0.858624587
"22",34,"G","Green tea",1.76,1.988,0.228,1.316,"Belanger","A9","Organic","N-6-1-1",45,2,50.147,5.3952,0.282,0.844706133
"23",35,"G","Green tea",1.786,2.015,0.228,0.799,"Belanger","A9","Organic","N-6-1-1",30,2,47.897,4.8253,0.258,0.857184747
"24",36,"G","Green tea",1.792,2.019,0.227,0.813,"Belanger","A9","Organic","N-6-1-1",30,2,48.915,4.7691,0.272,0.860064427
"25",13,"S","Rooibos tea",1.896,2.126,0.23,1.507,"Belanger","A9","Organic","N-8-0-0",30,1,45.6,0.69923,0.0254,0.90613
"26",14,"S","Rooibos tea",1.91,2.137,0.227,1.459,"Belanger","A9","Organic","N-8-0-0",30,1,46.94,0.84806,0.0356,0.912820833
"27",15,"S","Rooibos tea",1.918,2.146,0.228,1.465,"Belanger","A9","Organic","N-8-0-0",30,1,46.415,0.83329,0.042,0.916644167
"28",16,"S","Rooibos tea",1.901,2.13,0.23,1.39,"Belanger","A9","Organic","N-8-0-0",30,2,46.451,0.82498,0.0311,0.908519583
"29",17,"S","Rooibos tea",1.899,2.127,0.228,1.444,"Belanger","A9","Organic","N-8-0-0",30,2,45.502,0.7767,0.0318,0.90756375
"30",18,"S","Rooibos tea",1.904,2.132,0.227,1.398,"Belanger","A9","Organic","N-8-0-0",30,2,43.972,0.63764,0.0254,0.909953333
"31",19,"S","Rooibos tea",1.91,2.138,0.228,1.318,"Belanger","A9","Organic","N-8-0-0",45,1,50.197,1.0435,0.0386,0.912820833
