Tea type;Prelevement;Final carbon (%);Final weight (g);Initial weight (g);Initial carbon (%)
Cranberry litter;1;52,97542374;1,9686;1,893;50,003
Cranberry litter;1;52,97542374;2,0006;1,938;50,003
Cranberry litter;1;52,97542374;1,9766;1,923;50,003
Cranberry litter;1;52,97542374;1,9657;1,901;50,003
Cranberry litter;1;52,97542374;1,9817;1,907;50,003
Cranberry litter;1;52,97542374;1,9845;1,909;50,003
Cranberry litter;1;52,97542374;1,9702;1,902;50,003
Cranberry litter;1;52,97542374;1,9736;1,895;50,003
Cranberry litter;1;52,97542374;1,9917;1,9;50,003
Cranberry litter;1;52,97542374;2,0001;1,922;50,003
Cranberry litter;1;52,97542374;1,9602;1,903;50,003
Cranberry litter;1;52,97542374;1,9944;1,925;50,003
Cranberry litter;1;52,55682672;2,0179;1,924;50,003
Cranberry litter;1;52,55682672;1,9974;1,928;50,003
Cranberry litter;1;52,55682672;1,6168;1,93;50,003
Cranberry litter;1;52,55682672;1,9785;1,914;50,003
Cranberry litter;1;52,55682672;1,943;1,914;50,003
Cranberry litter;1;52,55682672;1,977;1,914;50,003
Cranberry litter;1;52,55682672;2,033;1,922;50,003
Cranberry litter;1;52,55682672;1,9867;1,909;50,003
Cranberry litter;1;52,55682672;1,9984;1,915;50,003
Cranberry litter;1;52,55682672;1,8743;1,9097;50,003
Cranberry litter;1;52,55682672;1,8812;1,9094;50,003
Cranberry litter;1;53,07235079;1,9733;1,901;50,003
Cranberry litter;1;53,07235079;1,9882;1,923;50,003
Cranberry litter;1;53,07235079;1,9515;1,898;50,003
Cranberry litter;1;53,07235079;1,9409;1,902;50,003
Cranberry litter;1;53,07235079;1,9351;1,907;50,003
Cranberry litter;1;53,07235079;1,9456;1,909;50,003
Cranberry litter;1;53,07235079;1,9135;1,887;50,003
Cranberry litter;1;53,07235079;1,955;1,919;50,003
Cranberry litter;1;53,07235079;1,9384;1,89;50,003
Cranberry litter;1;53,07235079;1,9423;1,903;50,003
Cranberry litter;1;53,07235079;1,9413;1,902;50,003
Cranberry litter;1;53,07235079;1,9518;1,915;50,003
Cranberry litter;1;53,07235079;1,9648;1,911;50,003
Cranberry litter;1;53,07235079;1,9509;1,91;50,003
Cranberry litter;1;53,07235079;1,9271;1,9;50,003
Cranberry litter;1;53,07235079;1,9778;1,93;50,003
Cranberry litter;1;52,69742419;1,9982;1,915;50,003
Cranberry litter;1;52,69742419;1,9346;1,897;50,003
Cranberry litter;1;52,69742419;1,9696;1,929;50,003
Cranberry litter;1;52,69742419;1,9328;1,889;50,003
Cranberry litter;1;52,69742419;1,9438;1,922;50,003
Cranberry litter;1;52,69742419;1,9663;1,918;50,003
Cranberry litter;1;52,69742419;1,9784;1,928;50,003
Cranberry litter;1;52,69742419;1,9242;1,882;50,003
Cranberry litter;1;52,69742419;1,9577;1,906;50,003
Cranberry litter;1;52,69742419;1,9968;1,938;50,003
Cranberry litter;1;52,69742419;1,9277;1,868;50,003
Cranberry litter;1;52,69742419;1,93;1,884;50,003
Cranberry litter;1;52,69742419;1,9708;1,92;50,003
Cranberry litter;1;52,69742419;1,9294;1,905;50,003
Cranberry litter;1;52,69742419;1,9321;1,887;50,003
Cranberry litter;1;52,69742419;1,74;1,892;50,003
Cranberry litter;1;52,69742419;1,9644;1,917;50,003
Cranberry litter;1;52,38561201;1,9953;1,937;50,003
Cranberry litter;1;52,38561201;1,9167;1,884;50,003
Cranberry litter;1;52,38561201;1,936;1,914;50,003
Cranberry litter;1;52,38561201;1,9655;1,894;50,003
Cranberry litter;1;52,38561201;1,9958;1,916;50,003
Cranberry litter;1;52,38561201;1,9668;1,902;50,003
Cranberry litter;1;52,38561201;1,9056;1,883;50,003
Cranberry litter;1;52,38561201;1,9098;1,883;50,003
Cranberry litter;1;52,38561201;1,9116;1,922;50,003
Cranberry litter;1;52,38561201;1,9739;1,928;50,003
Cranberry litter;1;52,38561201;1,9332;1,915;50,003
Cranberry litter;1;52,38561201;1,9485;1,91;50,003
Cranberry litter;1;52,38561201;1,9148;1,895;50,003
Cranberry litter;1;52,38561201;1,9413;1,926;50,003
Cranberry litter;1;52,38561201;1,9756;1,903;50,003
Cranberry litter;1;52,38561201;1,9454;1,885;50,003
Cranberry litter;1;52,53765433;1,9977;1,937;50,003
Cranberry litter;1;52,53765433;1,9663;1,926;50,003
Cranberry litter;1;52,53765433;2,0045;1,929;50,003
Cranberry litter;1;52,53765433;1,9713;1,91;50,003
Cranberry litter;1;52,53765433;1,9689;1,894;50,003
Cranberry litter;1;52,53765433;1,915;1,923;50,003
Cranberry litter;1;52,53765433;2,0086;1,882;50,003
Cranberry litter;1;52,53765433;1,875;1,908;50,003
Cranberry litter;1;52,53765433;2,0073;1,926;50,003
Cranberry litter;1;52,53765433;1,9731;1,899;50,003
Cranberry litter;1;52,53765433;1,9796;1,914;50,003
Cranberry litter;1;52,53765433;2,0053;1,927;50,003
Cranberry litter;1;52,53765433;1,984;1,901;50,003
Cranberry litter;1;52,53765433;2,0412;1,94;50,003
Cranberry litter;1;52,53765433;1,9684;1,898;50,003
Cranberry litter;1;52,53765433;2,0244;1,913;50,003
Cranberry litter;1;52,53765433;1,986;1,911;50,003
Cranberry litter;1;52,53765433;1,9123;1,915;50,003
Cranberry litter;1;52,14753907;1,8986;1,884;50,003
Cranberry litter;1;52,14753907;1,9858;1,928;50,003
Cranberry litter;1;52,14753907;1,9929;1,922;50,003
Cranberry litter;1;52,14753907;1,9311;1,917;50,003
Cranberry litter;1;52,14753907;1,9441;1,916;50,003
Cranberry litter;1;52,14753907;1,9004;1,93;50,003
Cranberry litter;1;52,14753907;1,9472;1,894;50,003
Cranberry litter;1;52,14753907;1,9618;1,9;50,003
Cranberry litter;1;52,14753907;1,9803;1,935;50,003
Cranberry litter;1;52,14753907;1,9948;1,935;50,003
Cranberry litter;1;52,14753907;1,8828;1,929;50,003
Cranberry litter;1;52,14753907;2,0101;1,909;50,003
Cranberry litter;1;52,14753907;1,9746;1,922;50,003
Cranberry litter;1;52,14753907;1,939;1,893;50,003
Cranberry litter;1;52,14753907;1,9813;1,923;50,003
Cranberry litter;1;52,14753907;1,9952;1,927;50,003
Cranberry litter;1;52,14753907;2,0033;1,916;50,003
Cranberry litter;1;52,14753907;1,97884;1,886;50,003
Cranberry litter;1;54,52481895;1,977;1,883;50,003
Cranberry litter;1;54,52481895;2,5168;1,915;50,003
Cranberry litter;1;54,52481895;2,4903;1,909;50,003
Cranberry litter;1;54,52481895;1,9956;1,915;50,003
Cranberry litter;1;54,52481895;2,4996;1,908;50,003
Cranberry litter;1;54,52481895;1,9868;1,916;50,003
Cranberry litter;1;54,52481895;2,0004;1,908;50,003
Cranberry litter;1;54,52481895;1,9817;1,895;50,003
Cranberry litter;1;54,52481895;2,0142;1,927;50,003
Cranberry litter;1;54,52481895;2,5147;1,915;50,003
Cranberry litter;1;54,52481895;2,0609;1,955;50,003
Cranberry litter;1;54,52481895;2,533;1,932;50,003
Cranberry litter;1;54,52481895;2,0344;1,934;50,003
Cranberry litter;1;54,52481895;1,9623;1,893;50,003
Cranberry litter;1;54,52481895;1,9764;1,895;50,003
Cranberry litter;1;54,52481895;1,9943;1,898;50,003
Cranberry litter;1;54,52481895;1,9924;1,9;50,003
Cranberry litter;1;54,52481895;1,9924;1,898;50,003
Cranberry litter;2;50,76768011;1,9987;1,904;50,003
Cranberry litter;2;50,76768011;1,998;1,905;50,003
Cranberry litter;2;50,76768011;1,9633;1,893;50,003
Cranberry litter;2;50,76768011;2,0453;1,933;50,003
Cranberry litter;2;50,76768011;2,0166;1,892;50,003
Cranberry litter;2;50,76768011;1,894;1,888;50,003
Cranberry litter;2;50,76768011;1,9884;1,908;50,003
Cranberry litter;2;50,76768011;2,1454;1,902;50,003
Cranberry litter;2;50,76768011;1,967;1,887;50,003
Cranberry litter;2;50,76768011;2,1195;1,911;50,003
Cranberry litter;2;50,76768011;1,9746;1,904;50,003
Cranberry litter;2;50,76768011;2,0079;1,932;50,003
Cranberry litter;2;51,09216365;1,9819;1,904;50,003
Cranberry litter;2;51,09216365;1,9595;1,908;50,003
Cranberry litter;2;51,09216365;1,9736;1,922;50,003
Cranberry litter;2;51,09216365;1,9192;1,902;50,003
Cranberry litter;2;51,09216365;2,0034;1,932;50,003
Cranberry litter;2;51,09216365;2,0533;1,914;50,003
Cranberry litter;2;51,09216365;1,9986;1,9;50,003
Cranberry litter;2;51,09216365;1,9332;1,928;50,003
Cranberry litter;2;51,09216365;2,0033;1,928;50,003
Cranberry litter;2;51,77948823;1,9708;1,915;50,003
Cranberry litter;2;51,77948823;1,9647;1,928;50,003
Cranberry litter;2;51,77948823;1,9716;1,92;50,003
Cranberry litter;2;51,77948823;1,9982;1,937;50,003
Cranberry litter;2;51,77948823;1,9563;1,903;50,003
Cranberry litter;2;51,77948823;1,9791;1,932;50,003
Cranberry litter;2;51,77948823;1,9361;1,894;50,003
Cranberry litter;2;51,77948823;1,9618;1,894;50,003
Cranberry litter;2;51,77948823;1,969;1,911;50,003
Cranberry litter;2;51,77948823;1,9339;1,884;50,003
Cranberry litter;2;51,77948823;1,9268;1,882;50,003
Cranberry litter;2;51,77948823;1;1,938;50,003
Cranberry litter;2;51,77948823;1,968;1,918;50,003
Cranberry litter;2;51,77948823;1,9875;1,924;50,003
Cranberry litter;2;51,77948823;1,9835;1,926;50,003
Cranberry litter;2;51,85620319;1,9803;1,937;50,003
Cranberry litter;2;51,85620319;1,9541;1,922;50,003
Cranberry litter;2;51,85620319;1,9409;1,897;50,003
Cranberry litter;2;51,85620319;1,9515;1,899;50,003
Cranberry litter;2;51,85620319;1,9857;1,922;50,003
