No;TypeThe;SorteThe;PoidsContenu_g;PoidsTotal _g;PoidsSac_g;Poids_Restant_g;Producteur;Champs;Regie;TypeAzote;DoseN;Repetition;Pourcentage_C;Pourcentage_N;Pourcentage_S
1;G;GrenTea;1,793;2,019;0,226;0,783;Belanger;A9;Biologique;N;0;1;50,144;5,2809;0,29
2;G;GrenTea;1,786;2,011;0,225;0,797;Belanger;A9;Biologique;N;0;1;50,933;4,4082;0,251
3;G;GrenTea;1,782;2,008;0,228;;Belanger;A9;Biologique;N;0;1;;;
4;G;GrenTea;1,76;1,987;0,227;0,778;Belanger;A9;Biologique;N;0;2;50,292;5,4397;0,296
5;G;GrenTea;1,788;2,013;0,226;0,779;Belanger;A9;Biologique;N;0;2;47,718;4,8735;0,277
6;G;GrenTea;1,779;2,004;0,227;;Belanger;A9;Biologique;N;0;2;;;
7;G;GrenTea;1,799;2,025;0,227;0,793;Belanger;A9;Biologique;N;15;1;49,86;5,2671;0,277
8;G;GrenTea;1,761;1,985;0,228;0,783;Belanger;A9;Biologique;N;15;1;50,174;5,2419;0,289
9;G;GrenTea;1,782;2,008;0,226;0,717;Belanger;A9;Biologique;N;15;1;49,667;5,0409;0,288
10;G;GrenTea;1,758;1,985;0,226;0,812;Belanger;A9;Biologique;N;15;2;49,526;5,3365;0,277
11;G;GrenTea;1,793;2,018;0,227;0,77;Belanger;A9;Biologique;N;15;2;49,098;4,84;0,268
12;G;GrenTea;1,797;2,023;0,227;0,714;Belanger;A9;Biologique;N;15;2;50,008;4,6352;0,281
13;G;GrenTea;1,799;2,024;0,226;;Belanger;A9;Biologique;N;30;1;;;
14;G;GrenTea;1,798;2,027;0,229;0,768;Belanger;A9;Biologique;N;30;1;49,661;5,2464;0,286
15;G;GrenTea;1,795;2,023;0,228;;Belanger;A9;Biologique;N;30;1;;;
16;G;GrenTea;1,769;1,996;0,228;0,743;Belanger;A9;Biologique;N;30;2;50,512;5,2547;0,292
17;G;GrenTea;1,766;1,994;0,227;0,804;Belanger;A9;Biologique;N;30;2;49,708;5,0434;0,275
18;G;GrenTea;1,792;2,019;0,227;0,833;Belanger;A9;Biologique;N;30;2;49,638;5,0262;0,279
19;G;GrenTea;1,766;1,992;0,226;0,7;Belanger;A9;Biologique;N;45;1;48,953;4,9144;0,285
20;G;GrenTea;1,781;2,007;0,226;0,809;Belanger;A9;Biologique;N;45;1;50,151;4,3896;0,258
21;G;GrenTea;1,765;1,994;0,228;0,723;Belanger;A9;Biologique;N;45;1;50,076;3,7431;0,23
22;G;GrenTea;1,774;2,002;0,229;;Belanger;A9;Biologique;N;45;2;;;
23;G;GrenTea;1,779;2,007;0,228;0,751;Belanger;A9;Biologique;N;45;2;49,958;5,1213;0,285
24;G;GrenTea;1,771;1,998;0,226;1,291;Belanger;A9;Biologique;N;45;2;;;
25;G;GrenTea;1,797;2,023;0,226;0,859;Belanger;A9;Biologique;N;60;1;49,798;3,9277;0,238
26;G;GrenTea;1,793;2,02;0,227;0,789;Belanger;A9;Biologique;N;60;1;;;
27;G;GrenTea;1,771;2;0,229;;Belanger;A9;Biologique;N;60;1;;;
28;G;GrenTea;1,792;2,019;0,227;0,828;Belanger;A9;Biologique;N;60;2;50,266;3,9173;0,257
29;G;GrenTea;1,766;1,994;0,228;0,774;Belanger;A9;Biologique;N;60;2;49,6;5,325;0,284
30;G;GrenTea;1,787;2,015;0,227;0,826;Belanger;A9;Biologique;N;60;2;50,567;4,8376;0,266
31;G;GrenTea;1,778;2,002;0,226;0,744;Belanger;A9;Biologique;N-6-1-1;60;2;50,361;4,9564;0,272
32;G;GrenTea;1,751;1,979;0,228;;Belanger;A9;Biologique;N-6-1-1;60;2;;;
33;G;GrenTea;1,789;2,016;0,227;0,803;Belanger;A9;Biologique;N-6-1-1;45;2;49,746;5,2747;0,288
34;G;GrenTea;1,76;1,988;0,228;1,316;Belanger;A9;Biologique;N-6-1-1;45;2;50,147;5,3952;0,282
35;G;GrenTea;1,786;2,015;0,228;0,799;Belanger;A9;Biologique;N-6-1-1;30;2;47,897;4,8253;0,258
36;G;GrenTea;1,792;2,019;0,227;0,813;Belanger;A9;Biologique;N-6-1-1;30;2;48,915;4,7691;0,272
1;S;Rooibos;1,905;2,134;0,229;1,534;Belanger;A9;Biologique;N;0;1;44,624;0,60046;0,0299
2;S;Rooibos;1,892;2,118;0,226;1,497;Belanger;A9;Biologique;N;0;1;46,169;0,949;0,0424
3;S;Rooibos;1,895;2,122;0,228;1,342;Belanger;A9;Biologique;N;0;1;49,264;0,72601;0,0337
4;S;Rooibos;1,907;2,138;0,231;1,308;Belanger;A9;Biologique;N;0;2;50,991;0,94623;0,0415
5;S;Rooibos;1,91;2,137;0,227;1,532;Belanger;A9;Biologique;N;0;2;49,04;0,88699;0,0355
6;S;Rooibos;1,908;2,136;0,229;1,495;Belanger;A9;Biologique;N;0;2;49,675;0,74179;0,0192
