"No";"TypeThe";"TeaType";"PoidsContenu_g";"PoidsTotal._g";"PoidsSac_g";"Poids_Restant_g";"Farmers";"Site";"Regie";"NitrogenType";"DoseN";"Repetition";"Pourcentage_C";"Pourcentage_N";"Pourcentage_S";"Teneur_Ci";"GreenTMoy_C";"GreenTMoy_N";"GreenTMoy_S";"Teneur_Cf";"Teneur_Nf";"Teneur_Sf";"PertePoids";"Difference_C_Total_g";"TauxDecomposition_C";"DoseRep"
"1";1;"G";"Green tea";1,793;2,019;0,226;0,783;"Belanger";"A9";"Biologique";"N-8-0-0";0;1;50,144;5,2809;0,29;0,860544373;"47,99466667";"3,377";"0,193666667";0,39262752;0,041349447;0,0022707;0,00920569752904811;0,467916853;0,00871893116307612;"0_1_A9"
"2";2;"G";"Green tea";1,786;2,011;0,225;0,797;"Belanger";"A9";"Biologique";"N-8-0-0";0;1;50,933;4,4082;0,251;0,857184747;"Rooibos teaMoy_C";"Rooibos teaMoy_N";"Rooibos teaMoy_S";0,40593601;0,035133354;0,00200047;0,00896532314051366;0,451248737;0,00830508814575895;"0_1_A9"
"3";3;"G";"Green tea";1,782;2,008;0,228;NA;"Belanger";"A9";"Biologique";"N-8-0-0";0;1;NA;NA;NA;0,85526496;"47,79166667";"1,040022222";"0,090222222";NA;NA;NA;NA;NA;NA;"0_1_A9"
"4";4;"G";"Green tea";1,76;1,987;0,227;0,778;"Belanger";"A9";"Biologique";"N-8-0-0";0;2;50,292;5,4397;0,296;0,844706133;"ResiduCan_C";"ResiduCan_N";"ResiduCan_S";0,39127176;0,042320866;0,00230288;0,00907047293170895;0,453434373;0,00855096042613044;"0_2_A9"
"5";5;"G";"Green tea";1,788;2,013;0,226;0,779;"Belanger";"A9";"Biologique";"N-8-0-0";0;2;47,718;4,8735;0,277;0,85814464;"50,033";"0,90172";"0,0757";0,37172322;0,037964565;0,00215783;0,00923157677625235;0,48642142;0,00929581242536823;"0_2_A9"
"6";6;"G";"Green tea";1,779;2,004;0,227;NA;"Belanger";"A9";"Biologique";"N-8-0-0";0;2;NA;NA;NA;0,85382512;"Hibiscus TeaTMoy_C";"Hibiscus TeaTMoy_N";"Hibiscus TeaTMoy_S";NA;NA;NA;NA;NA;NA;"0_2_A9"
"7";7;"G";"Green tea";1,799;2,025;0,227;0,793;"Belanger";"A9";"Biologique";"N-8-0-0";15;1;49,86;5,2671;0,277;0,863424053;"46,04066667";"0,872726667";"0,0857";0,3953898;0,041768103;0,00219661;0,00910181124795206;0,468034253;0,00867815363841885;"15_1_A9"
"8";8;"G";"Green tea";1,761;1,985;0,228;0,783;"Belanger";"A9";"Biologique";"N-8-0-0";15;1;50,174;5,2419;0,289;0,84518608;"SenchTMoy_C";"SenchTMoy_N";"SenchTMoy_S";0,39286242;0,041044077;0,00226287;0,00900560458339337;0,45232366;0,00851219268765822;"15_1_A9"
"9";9;"G";"Green tea";1,782;2,008;0,226;0,717;"Belanger";"A9";"Biologique";"N-8-0-0";15;1;49,667;5,0409;0,288;0,85526496;"47,08725";"3,6811";"0,161";0,35611239;0,036143253;0,00206496;0,0101157307492348;0,49915257;0,00973516591544881;"15_1_A9"
"10";10;"G";"Green tea";1,758;1,985;0,226;0,812;"Belanger";"A9";"Biologique";"N-8-0-0";15;2;49,526;5,3365;0,277;0,84374624;NA;NA;NA;0,40215112;0,04333238;0,00224924;0,00858257486759383;0,44159512;0,00823359830559836;"15_2_A9"
"11";11;"G";"Green tea";1,793;2,018;0,227;0,77;"Belanger";"A9";"Biologique";"N-8-0-0";15;2;49,098;4,84;0,268;0,860544373;NA;NA;NA;0,3780546;0,037268;0,0020636;0,00939172176397115;0,482489773;0,00913918390244705;"15_2_A9"
"12";12;"G";"Green tea";1,797;2,023;0,227;0,714;"Belanger";"A9";"Biologique";"N-8-0-0";15;2;50,008;4,6352;0,281;0,86246416;NA;NA;NA;0,35705712;0,033095328;0,00200634;0,0102554547160442;0,50540704;0,00979886472708829;"15_2_A9"
"13";13;"G";"Green tea";1,799;2,024;0,226;NA;"Belanger";"A9";"Biologique";"N-8-0-0";30;1;NA;NA;NA;0,863424053;NA;NA;NA;NA;NA;NA;NA;NA;NA;"30_1_A9"
"14";14;"G";"Green tea";1,798;2,027;0,229;0,768;"Belanger";"A9";"Biologique";"N-8-0-0";30;1;49,661;5,2464;0,286;0,862944107;NA;NA;NA;0,38139648;0,040292352;0,00219648;0,00945156090982104;0,481547627;0,00907233843428049;"30_1_A9"
"15";15;"G";"Green tea";1,795;2,023;0,228;NA;"Belanger";"A9";"Biologique";"N-8-0-0";30;1;NA;NA;NA;0,861504267;NA;NA;NA;NA;NA;NA;NA;NA;NA;"30_1_A9"
"16";16;"G";"Green tea";1,769;1,996;0,228;0,743;"Belanger";"A9";"Biologique";"N-8-0-0";30;2;50,512;5,2547;0,292;0,849025653;NA;NA;NA;0,37530416;0,039042421;0,00216956;0,0096385961049114;0,473721493;0,00907058456508074;"30_2_A9"
"17";17;"G";"Green tea";1,766;1,994;0,227;0,804;"Belanger";"A9";"Biologique";"N-8-0-0";30;2;49,708;5,0434;0,275;0,847585813;NA;NA;NA;0,39965232;0,040548936;0,002211;0,00874303457761043;0,447933493;0,00835330132523778;"30_2_A9"
